city,state,shape,date
Fontana,CA,oval,2019-03-18
Greene,IA,cylinder,2019-03-18
Port Republic,NJ,sphere,2019-03-18
Garden Grove,CA,sphere,2019-03-18
Palmyra,PA,unknown,2019-03-19
Las Vegas,NV,unknown,2019-03-18
Ocean Springs,MS,sphere,2019-03-19
New Brunswick,NB,disk,2019-03-19
Green Valley,AZ,formation,2019-03-19
Gilroy,CA,light,2019-03-19
San Diego,CA,triangle,2019-03-19
Gardner,MA,rectangle,2019-03-19
Mankato,MN,triangle,2019-03-19
Newmarket,ON,chevron,2019-03-19
Hobart,WA,light,2019-03-19
NA,NA,NA,2019-03-20
Chester Springs,PA,other,2019-03-20
Vancouver,WA,fireball,2019-03-20
Wright,AR,disk,2019-03-20
Turners Falls,MA,light,2019-03-21
Alabama,AL,fireball,1996-06-18
Salmon River,ID,light,1996-07-03
Tucson,AZ,other,1996-07-15
Pueblo,CO,triangle,1996-08-01
Fort Wayne,IN,sphere,1996-08-18
Bloomsburg,PA,teardrop,1996-11-26
Mesa,AZ,triangle,1997-02-28
Arizona,AZ,triangle,1997-03-09
Las Vegas,NV,light,1997-03-10
Phoenix,AZ,chevron,1997-03-13
Black Canyon City,AZ,chevron,1997-03-13
Phoenix,AZ,triangle,1997-03-13
Tampa,FL,triangle,1997-04-18
Liverpool (UK/England),NA,disk,1997-06-01
Eden Prairie,MN,circle,1997-06-15
Arizona,AZ,triangle,1997-07-07
Spa-Francorchamps (Belgium),NA,triangle,1997-07-30
Oregon,OR,rectangle,1997-10-01
"Poole, Dorset (UK/England)",NA,fireball,1998-01-08
Cebu City (Philippines),NA,other,1998-03-01
Malabar,FL,triangle,1998-03-07
Sebastian Inlet,FL,light,1998-03-07
San Antonio,TX,formation,1998-03-21
Norfolk,MA,other,1998-05-20
Victoria,BC,light,1998-06-01
New Rochelle,NY,light,1998-06-01
Tampa,FL,light,1998-06-06
Indianola,IA,diamond,1998-06-30
Portland,ME,triangle,1998-07-05
New Rochelle,NY,cigar,1998-07-10
Albuquerque,NM,fireball,1998-07-15
Clearfield,IA,sphere,1998-07-20
Hampton,NH,circle,1998-08-13
Comerio (Puerto Rico),NA,egg,1998-09-19
Asheville,NC,light,1998-10-12
Boca Grande,FL,disk,1998-12-18
Farwell,TX,light,1999-06-15
Bay Point,CA,other,1999-07-22
Dayton,OH,other,1999-07-28
Lethbrdge,AB,unknown,1999-08-08
Point Arena,CA,NA,1999-12-21
Erath,LA,egg,2000-01-01
New York,NY,other,2000-02-01
Denver,CO,other,2000-02-02
Swansea (UK/Wales),NA,other,2000-02-19
Ephrata,WA,other,2000-03-10
New Rochelle,NY,circle,2000-05-15
Clifton,NJ,other,2000-06-20
Orlando,FL,rectangle,2000-06-30
Los Angeles,CA,triangle,2000-08-01
Fontana,CA,circle,2000-08-05
Mount Kisco,NY,light,2000-10-15
Munhall,PA,light,2000-10-25
New Rochelle,NY,diamond,2001-02-14
Passaconway,NH,light,2001-05-19
Parkersburg,WV,other,2001-05-26
Cancun (Mexico),NA,light,2001-06-10
Nevada desert,NV,oval,2001-06-30
Spring Valley,CA,sphere,2001-07-09
Ocean City,MD,flash,2001-07-24
Sydney (Australia),NA,diamond,2001-09-11
Paintsville,KY,disk,2002-01-14
Gillette,WY,triangle,2002-05-10
Midland,TX,formation,2002-06-12
Piqua,OH,unknown,2002-06-15
New York,NY,cylinder,2002-06-23
Sedona,AZ,triangle,2002-06-30
North Port,FL,light,2002-06-30
Washington,DC,light,2002-07-25
Midland,ON,light,2002-08-06
London (UK/England),NA,cross,2002-11-05
Augusta,ME,light,2002-11-15
Phoenix,AZ,triangle,2003-04-01
Las Vegas,NV,unknown,2003-06-30
Hong Kong (China),NA,other,2003-06-30
Bonita Springs,FL,light,2003-07-06
Chiefland,FL,disk,2003-07-15
Bucharest (Romania),NA,sphere,2003-07-29
Des Moines,IA,cigar,2003-07-31
Los Angeles,CA,light,2003-08-17
Pensacola,FL,fireball,2003-09-24
Lawrenceville,GA,formation,2003-10-04
Three Sisters,WI,circle,2003-10-20
College Point,NY,formation,2003-11-08
New York,NY,chevron,2003-11-08
La Canada Flintridge,CA,other,2003-11-14
St Louis,MO,light,2004-01-15
Stanfield,OR,teardrop,2004-03-05
Gold Coast (Australia),NA,light,2004-03-05
Adelaide  (South Australia),NA,formation,2004-03-15
Crawfordville,IN,disk,2004-04-15
Amarillo,TX,circle,2004-05-02
Omaha,NE,oval,2004-05-23
Oklahoma City,OK,changing,2004-05-28
Cleveland,OH,light,2004-06-15
Levittown,PA,circle,2004-06-26
Zakopane (Poland),NA,other,2004-06-26
Plovdiv (Bulgaria),NA,light,2004-06-30
New Springfield,OH,oval,2004-06-30
"Maracay (Urbaniz, el Castaño) (Venezuela)",NA,sphere,2004-07-12
Mayfield Heights,OH,unknown,2004-08-10
Klingerstown,PA,disk,2004-08-12
Bethel Island,CA,light,2004-08-20
Murrieta,CA,triangle,2004-09-04
Oregon,OR,circle,2004-10-13
Brookline,MA,triangle,2004-10-15
New Rochelle,NY,disk,2004-10-20
Meriden,CT,cigar,2004-10-25
"Kidderminster, Warwickshire (UK/England)",NA,disk,2004-12-10
Philadelphia,PA,disk,2004-12-24
Malibu,CA,triangle,2004-12-28
Sydney (Australia),NA,diamond,2004-12-29
Chicago- West Suburbs- Rt 171,IL,triangle,2005-01-05
Jacksonville,FL,sphere,2005-01-19
Hillsboro,OR,NA,2005-03-11
Las Vegas,NE,other,2005-03-15
Crystal River,FL,fireball,2005-03-20
Larned,KS,cylinder,2005-03-27
Mineral Springs,NC,other,2005-03-28
Memphis,TN,disk,2005-04-01
Springfield,MA,circle,2005-04-09
Ringe,NH,unknown,2005-04-15
Sevastopol (Ukraine),NA,other,2005-04-23
Clovis,NM,unknown,2005-05-15
"Basak Gate Lapu-Lapu City,Cebu (Philippines)",NA,circle,2005-05-15
Montague,MA,light,2005-05-16
Lisbon,NY,formation,2005-05-25
Salt Lake City,UT,other,2005-06-07
New York,NY,unknown,2005-06-15
Colorado Springs,CO,triangle,2005-06-27
Ibiza (Spain),NA,sphere,2005-06-29
Conway,AR,other,2005-07-03
Covina,CA,circle,2005-07-05
Boynton Beach,FL,circle,2005-07-15
Port Dover,ON,cylinder,2005-07-15
