city,state,shape,date
Leesburg,VA,formation,2012-11-22
Widefield,CO,light,2012-11-22
Winter Haven,FL,fireball,2012-11-22
Virginia Beach,VA,sphere,2012-11-22
Ingersoll,ON,circle,2012-11-22
Woodbury,MN,triangle,2013-09-03
East Hartford,CT,triangle,2013-09-03
Springdale,AR,sphere,2013-09-03
West Palm Beach,FL,sphere,2013-09-03
Laguna Beach,CA,light,2013-09-03
Mount Airy,NC,circle,2013-09-03
Salt Lake City,UT,changing,2013-09-03
Yoder,KS,sphere,2013-09-03
Whittier,CA,light,2013-09-28
Chelsea,AL,fireball,2013-09-28
Wyong (Australia),NA,light,2013-09-28
Eddyville,KY,fireball,2013-09-28
Glendale,AZ,unknown,2013-09-28
Taylors,SC,other,2013-09-28
Clarksville,TN,teardrop,2013-09-28
Goshen,NY,fireball,2013-05-22
Euless,TX,cigar,2013-05-23
Hurst,TX,rectangle,2013-05-23
Morrisville,VT,light,2013-05-23
Bomoseen,VT,other,2013-05-23
Cross Lanes,WV,other,2013-05-23
Columbus,GA,unknown,2013-05-23
Twin Falls,ID,formation,2013-05-23
Marco Island,FL,circle,2013-08-23
Washington,NC,unknown,2013-08-24
Tyndall AFB,FL,fireball,2013-08-24
Edmond,OK,oval,2013-08-24
Shaw,MS,circle,2013-08-24
Edmond,OK,other,2013-08-24
Springboro,OH,fireball,2013-08-24
Cottontown,TN,disk,2013-08-24
Chateauguay,QC,light,2013-08-24
Covington,GA,light,2013-10-11
Fayetteville,NY,chevron,2013-10-11
Drexel,OH,sphere,2013-10-11
Jupiter,FL,light,2013-10-11
Melbourne,FL,sphere,2013-10-11
Dresser,WI,sphere,2013-10-11
Lombard,IL,formation,2013-10-11
Windsor,ON,light,2013-10-11
San Bernardino,CA,circle,2013-06-22
Independence,OH,fireball,2013-06-22
Nampa,ID,light,2013-06-22
Richmond,IN,circle,2013-06-22
Bushkill,PA,fireball,2013-06-22
Barker,NY,fireball,2013-06-22
Bellevue,OH,circle,2013-06-22
Cape Charles,VA,changing,2013-06-22
Billings,MT,light,2013-01-01
Bristol,PA,oval,2013-01-01
Odessa,TX,triangle,2013-01-01
SSault Ste. Marie,ON,light,2013-01-01
Jupiter,FL,circle,2013-01-01
Milwaukee,WI,cone,2013-01-01
Northampton,PA,unknown,2013-01-01
Stockton,CA,fireball,2013-01-01
Port Richey,FL,sphere,2013-01-01
Lake Wales,FL,light,2013-04-28
Chattanooga,TN,triangle,2013-04-28
Albuquerque,NM,light,2013-04-28
Bayonne,NJ,light,2013-04-28
St. Petersburg,FL,fireball,2013-04-28
Grants Pass,OR,light,2013-04-28
Albuquerque,NM,light,2013-04-28
Manchester,NH,sphere,2013-07-07
Greenfield,MA,disk,2013-07-07
Elkmont,AL,formation,2013-07-07
Lindenhurst,NY,circle,2013-07-07
Paducah,KY,circle,2013-07-07
Norwalk,CT,flash,2013-07-07
Spotswood,NJ,light,2013-07-07
Haddon Heights,NJ,triangle,2013-07-13
League City,TX,circle,2013-07-13
Evans,GA,fireball,2013-07-13
Lake Dallas,TX,fireball,2013-07-13
Norfolk,VA,light,2013-07-13
Kemptville,ON,light,2013-07-13
Burton,OH,light,2013-07-13
Newton,NC,disk,2012-11-22
Manchester,VT,light,2012-11-22
Northport,NY,light,2012-11-22
Manchester,MA,fireball,2012-11-22
Sheldon Springs,VT,triangle,2012-11-22
Livonia,MI,disk,2012-11-23
Warwick,NY,formation,2012-11-23
North Hollywood,CA,formation,2012-11-23
Severna Park,MD,sphere,2013-09-03
Lincoln City,OR,light,2013-09-03
Glastonbury (UK/England),NA,other,2013-09-03
Slippery Rock,PA,unknown,2013-09-03
Chittenango,NY,circle,2013-09-03
Fresno,CA,oval,2013-09-03
Coram,NY,flash,2013-09-04
Cutler Bay,FL,triangle,2013-09-04
Milton,GA,fireball,2013-09-28
Mcveytown,PA,light,2013-09-28
Loganville,GA,sphere,2013-09-28
Cumming,GA,fireball,2013-09-28
Moreno Valley,CA,light,2013-09-28
Chandigarh (India),NA,light,2013-05-23
South Prarie,WA,NA,2013-05-24
Wittenberg,WI,light,2013-05-24
Palm Desert,CA,fireball,2013-05-24
Plant city,FL,unknown,2013-05-24
Orlando,FL,other,2013-05-24
Eagan,MN,other,2013-05-24
Sandy Springs,GA,sphere,2013-05-24
Spring Hill,FL,light,2013-05-24
Abington,PA,circle,2013-08-24
Indianapolis,IN,changing,2013-08-24
Elmira,NY,sphere,2013-08-24
Westport,CT,sphere,2013-08-24
Bemus Point,NY,circle,2013-08-24
Kerville,TX,circle,2013-08-24
Everett,MA,light,2013-08-24
Jackson,WI,formation,2013-08-24
Ogdensburg,NJ,oval,2013-08-24
Shelby Township,MI,changing,2013-10-11
North Canton,OH,fireball,2013-10-11
Pinckney,MI,fireball,2013-10-11
Cincinnati,OH,fireball,2013-10-12
Cambridge,NY,light,2013-10-12
Strongsville,OH,triangle,2013-10-12
Festus,MO,fireball,2013-10-12
Bruce Beach,ON,circle,2013-06-22
Eureka,CA,light,2013-06-22
Peoria,AZ,unknown,2013-06-22
Meadows of Dan,VA,sphere,2013-06-22
Creston,IA,light,2013-06-22
Guilford,CT,sphere,2013-06-22
Newark,OH,fireball,2013-06-22
Grove City,PA,light,2013-06-22
Timmins,ON,sphere,2013-06-22
Ridgecrest,CA,light,2013-01-01
York,PA,other,2013-01-01
Pickens,SC,fireball,2013-01-01
Claremont,NH,circle,2013-01-01
Pinellas Park,FL,fireball,2013-01-01
Fort Worth,TX,light,2013-01-01
Toronto,ON,unknown,2013-01-01
Johannesburg (South Africa),NA,disk,2013-01-01
Englewood,FL,unknown,2013-04-28
Wakarusa,IN,sphere,2013-04-28
Bathurst,NB,light,2013-04-28
Albuera (Philippines),NA,fireball,2013-04-28
Sunnyvale,CA,circle,2013-04-29
Sunnyvale,CA,circle,2013-04-29
Saint Francis,MN,cigar,2013-04-29
Nicosia (Cyprus),NA,circle,2013-04-29
Countryside,IL,formation,2013-07-07
Cudahy,WI,circle,2013-07-07
Saint Helens,OR,sphere,2013-07-07
Springfield,OR,circle,2013-07-07
Chicago Heights,IL,circle,2013-07-07
Surf City,NJ,light,2013-07-07
Houston,TX,triangle,2013-07-07
Englewood,FL,circle,2013-07-07
Ash,NC,sphere,2013-07-07
Dearborn,MI,fireball,2013-07-13
Eastvale,CA,light,2013-07-13
Beaver Falls,PA,oval,2013-07-14
New Orleans,LA,other,2013-07-14
Parkville,MD,formation,2013-07-14
Oakland,TN,circle,2013-07-14
Oakland,TN,circle,2013-07-14
Bossier City,LA,light,2013-07-14
Mount Laurel,NJ,formation,2013-07-14
Windsor,CT,unknown,2012-11-23
Fort Towson,OK,cylinder,2012-11-23
Hancock,WI,fireball,2012-11-23
Brockton,MA,sphere,2012-11-23
Monroe,CT,fireball,2012-11-23
Aiea,HI,light,2012-11-23
Garden City,SC,fireball,2012-11-23
Vallejo,CA,sphere,2012-11-23
Meriden,CT,cylinder,2013-09-04
Waxhaw,NC,sphere,2013-09-04
Parkville,MD,light,2013-09-04
Seymour,CT,fireball,2013-09-04
Moore,OK,light,2013-09-04
Manchester,NH,cross,2013-09-04
Covington,GA,circle,2013-09-04
San Diego,CA,light,2013-09-04
Athens,GA,circle,2013-09-28
Mattapoisett,MA,light,2013-09-28
Owls Head,NY,circle,2013-09-28
Binghamton,NY,light,2013-09-28
Tolland,CT,unknown,2013-09-28
New Palestine,IN,fireball,2013-09-28
Canal Winchester,OH,formation,2013-09-28
Akron,OH,triangle,2013-09-28
Palm Bay,FL,other,2013-05-24
Midlothian,IL,triangle,2013-05-24
Madison,WI,fireball,2013-05-24
Santa Barbara,CA,light,2013-05-24
Capitol heights,MD,formation,2013-05-24
Gatineau,QC,circle,2013-05-24
Plainfield,IL,triangle,2013-05-25
Drums,PA,fireball,2013-08-24
Springfield Township,OH,teardrop,2013-08-24
Jefferson,WI,light,2013-08-24
Livermore Falls,ME,light,2013-08-24
Silverdale,WA,light,2013-08-24
New York,NY,circle,2013-08-24
Nashville,TN,fireball,2013-08-24
Janesville,WI,circle,2013-08-24
Bernville,PA,light,2013-08-24
Owego,NY,disk,2013-10-12
Kodiak,AK,other,2013-10-12
Clarkston,MI,triangle,2013-10-12
Suffolk,VA,triangle,2013-10-12
Finleyville,PA,other,2013-10-12
North Judson,IN,light,2013-10-12
Albuquerque,NM,light,2013-10-12
Lima,OH,formation,2013-10-12
Keswick,ON,sphere,2013-10-12
Indianapolis,IN,unknown,2013-06-23
Santee,CA,circle,2013-06-23
Portland,OR,other,2013-06-23
Centerville,OH,fireball,2013-06-23
Las Vegas,NV,triangle,2013-06-23
Big Bear,CA,light,2013-06-23
Seal Beach,CA,sphere,2013-06-23
Anderson,SC,other,2013-06-23
Miami,FL,light,2013-01-01
Chawton (village) (UK/England),NA,light,2013-01-01
Palm Desert,CA,sphere,2013-01-01
Farmington,NM,egg,2013-01-01
Ormond Beach,FL,fireball,2013-01-01
Long Beach,CA,formation,2013-01-01
Brandon,FL,fireball,2013-01-01
Wailuku,HI,sphere,2013-01-01
Santa Fe,NM,light,2013-04-29
Brisbane (Australia),NA,formation,2013-04-29
San Antonio,TX,fireball,2013-04-29
Davenport,FL,fireball,2013-04-29
Oxford,MS,circle,2013-04-29
Mercey Hot Springs,CA,light,2013-04-29
Viola,KS,cross,2013-04-29
Kuna,ID,light,2013-04-29
Batavia,IL,circle,2013-04-30
Battle Ground,WA,disk,2013-07-07
Richmond,VA,disk,2013-07-07
Brownstown,MI,oval,2013-07-08
Atlantic City,NJ,fireball,2013-07-08
Portland,ME,disk,2013-07-08
Roxborough,PA,light,2013-07-08
New York,NY,circle,2013-07-08
Goodlands (Mauritius),NA,light,2013-07-08
Deerfield,IL,fireball,2013-07-14
Woodbridge,VA,sphere,2013-07-14
Downingtown,PA,circle,2013-07-14
Sanibel Island,FL,other,2013-07-14
Falmouth,MA,light,2013-07-14
Shawano,WI,unknown,2013-07-14
Staunton,VA,light,2013-07-14
Goodlettsville,TN,triangle,2013-07-14
Chandler,AZ,triangle,2013-07-14
Honolulu,HI,circle,2012-11-23
Sacramento,CA,other,2012-11-23
Holly,MI,light,2012-11-23
Cape Girardeau,MO,oval,2012-11-23
Manchester,VT,light,2012-11-23
Clinton,MS,cross,2012-11-24
Bellingham,WA,circle,2012-11-24
Felton,CA,oval,2012-11-24
Anniston,AL,light,2012-11-24
Sault Ste. Marie,ON,circle,2013-09-04
Gainesville,GA,unknown,2013-09-04
Shavertown,PA,flash,2013-09-04
Campbell,CA,fireball,2013-09-04
Advance,NC,diamond,2013-09-05
Lincoln,NE,sphere,2013-09-05
Kings Mountain,NC,other,2013-09-05
Oxford,PA,oval,2013-09-28
Sale Creek,TN,fireball,2013-09-28
Phoenix,AZ,formation,2013-09-28
Sedona,AZ,unknown,2013-09-28
Niagara Falls,NY,circle,2013-09-28
Indianapolis,IN,formation,2013-09-28
West Carrollton,OH,circle,2013-09-28
Dover,DE,sphere,2013-05-25
Folly Beach,SC,sphere,2013-05-25
North East,PA,circle,2013-05-25
Charlotte,TN,rectangle,2013-05-25
New Westminster,BC,unknown,2013-05-25
Purcell,OK,disk,2013-05-25
Borrego Springs,CA,rectangle,2013-05-25
Convoy,OH,sphere,2013-05-25
El Paso,TX,sphere,2013-05-25
Oak Island,NC,light,2013-08-24
Hudson,WI,fireball,2013-08-24
Hamilton,ON,other,2013-08-24
New York,NY,other,2013-08-24
Mount Airy,NC,sphere,2013-08-24
Los Angeles,CA,circle,2013-08-24
Guilderland,NY,sphere,2013-08-24
Hackensack,NJ,circle,2013-08-24
Chatham,IL,circle,2013-08-24
Philadelphia,PA,light,2013-08-24
Hamilton,OH,formation,2013-10-12
Austin,TX,triangle,2013-10-12
Koh Samui (Thailand),NA,circle,2013-10-12
Springboro,OH,unknown,2013-10-12
Franklin,OH,light,2013-10-12
Peoria,IL,formation,2013-10-12
Miamisburg,OH,fireball,2013-10-12
Sundridge,ON,sphere,2013-10-12
Lake Don Pedro,CA,rectangle,1978-12-15
San Jose,IL,light,1992-11-15
Mexico-Edmonton,AB,light,2008-12-12
Hollister,MO,oval,2009-10-21
Dundalk,MD,cylinder,2013-06-23
Tybee Island,GA,fireball,2013-06-23
Los Angeles,CA,circle,2013-06-23
Miami,FL,flash,2013-06-23
Bossier City,LA,light,2013-06-23
Fort Lauderdale,FL,light,2013-06-23
Baker,CA,fireball,2013-06-23
Chicago,IL,cone,2013-01-01
Kalaloch,WA,light,2013-01-01
Delta Junction,AK,triangle,2013-01-01
Elk Grove,CA,sphere,2013-01-01
Tulare,CA,formation,2013-01-01
Canaan Valley,WV,fireball,2013-01-01
Longview,WA,unknown,2013-01-01
Cambridge,MN,triangle,2013-04-30
Culver CIty,CA,cigar,2013-04-30
Goldendale,WA,unknown,2013-04-30
Smithton,MO,triangle,2013-04-30
Bastrop,TX,formation,2013-04-30
Carteret,NJ,triangle,2013-04-30
Carteret,NJ,triangle,2013-04-30
Covington,PA,sphere,2013-05-01
Chilliwack,BC,light,2013-07-08
Barrington,NJ,fireball,2013-07-08
Saint Louis Park,MN,circle,2013-07-08
Ocean City,MD,circle,2013-07-08
Manchester,KY,other,2013-07-08
Montverde,FL,rectangle,2013-07-08
Seattle,WA,light,2013-07-08
Riverview,FL,fireball,2013-07-08
Sacramento,CA,circle,2013-07-08
Washougal,WA,light,2013-07-14
Endicott,NY,other,2013-07-14
Davenport,IA,fireball,2013-07-14
Laconia,NH,light,2013-07-14
Fort Myers,FL,unknown,2013-07-14
Irvine,CA,sphere,2013-07-15
Daly City,CA,NA,2013-07-15
Mesa,AZ,fireball,2013-07-15
Taft,CA,unknown,2013-07-15
Tucson,AZ,light,2013-07-15
Moncks Corner,SC,formation,2012-11-24
Miami,FL,circle,2012-11-24
Miami,FL,fireball,2012-11-24
Salt Lake City,UT,light,2012-11-24
Fairfax Station,VA,circle,2012-11-24
Montgomery,AL,circle,2012-11-24
Key West,FL,light,2012-11-24
Glendale,MO,unknown,2012-11-24
Satellite Beach,FL,fireball,2012-11-24
Houston,TX,light,2012-11-24
Hunt Valley,MD,sphere,2013-09-05
Susanville,CA,cigar,2013-09-05
Denver,CO,disk,2013-09-05
Advance,NC,triangle,2013-09-05
Gilbert,AZ,unknown,2013-09-05
Gallatin,TN,circle,2013-09-05
Whittier,CA,circle,2013-09-05
Bellingham,MA,circle,2013-09-05
North Pole,AK,light,2013-09-28
Oxford,PA,fireball,2013-09-28
Chesterfield,VA,light,2013-09-28
Lafayette,LA,triangle,2013-09-28
Sunset Park,NY,circle,2013-09-28
Florence,AL,sphere,2013-09-28
Florence,KY,other,2013-09-28
Hazelwood,MO,cross,2013-05-25
Christiansburg,VA,light,2013-05-25
Porter,TX,fireball,2013-05-25
Covington,LA,fireball,2013-05-25
Hattiesburg,MS,fireball,2013-05-25
Tucson,AZ,light,2013-05-25
Virginia Beach,VA,circle,2013-05-25
Portville,NY,unknown,2013-05-25
Belo,WV,light,2013-08-24
Lowell,MA,light,2013-08-24
Ross Township,PA,fireball,2013-08-24
Lisle,IL,circle,2013-08-24
Fort Wayne,IN,circle,2013-08-24
Tacoma,WA,light,2013-08-24
Des Moines,IA,formation,2013-08-24
Chandlerville,OH,diamond,2013-10-12
Hilliard,OH,diamond,2013-10-12
Hiawassee,GA,circle,2013-10-12
West Newbury,MA,sphere,2013-10-12
Lombard,IL,other,2013-10-12
Russell Springs,KY,light,2013-10-12
Anderson,SC,circle,2013-10-12
Orangevale,CA,formation,2013-10-12
Lenoir,NC,triangle,2012-05-20
Hobbs,NM,oval,2012-09-22
Pascoag,RI,light,2013-01-14
Mukwonago,WI,rectangle,2013-08-31
Arlington,WI,oval,2013-09-01
Everett,WA,fireball,2013-09-08
Star Tannery,VA,unknown,2013-09-09
Green Bay,WI,circle,2013-09-13
St Louis,MO,disk,2013-09-14
Portland,TN,light,2013-06-23
Houston,TX,light,2013-06-23
Qu-appelle,SK,cigar,2013-06-23
Roxboro,NC,triangle,2013-06-23
Colorado Springs,CO,light,2013-06-23
Lahaina,HI,fireball,2013-06-23
Worthington,OH,other,2013-06-23
Victoria,BC,sphere,2013-06-24
Midvale,UT,fireball,2013-01-01
Alton (Hampshire)(UK/England),NA,fireball,2013-01-01
Seattle,WA,light,2013-01-01
London (UK/England),NA,oval,2013-01-01
Jacksonville Beach,FL,disk,2013-01-01
Westminster,VT,oval,2013-01-01
Lake Worth,FL,fireball,2013-01-01
Sacramento,CA,light,2013-01-01
Pittsburgh,PA,circle,2013-01-01
Stillwater,OK,light,2013-05-01
Collegeville,CA,unknown,2013-05-01
Grass Valley,CA,other,2013-05-01
New York,NY,flash,2013-05-01
Dacula,GA,fireball,2013-05-01
Elmont,NY,triangle,2013-05-01
Sauk City,WI,oval,2013-05-01
Merrimack,NH,sphere,2013-05-01
Reading,PA,unknown,2013-07-08
Franklin,TN,triangle,2013-07-09
Toms River,NJ,circle,2013-07-09
Norman,OK,cigar,2013-07-09
Ocean City,MD,other,2013-07-09
Kitty Hawk,NC,sphere,2013-07-09
Buckeye,AZ,light,2013-07-09
Salem,OR,circle,2013-07-15
Kenosha,WI,circle,2013-07-15
Bryant,AR,light,2013-07-15
Loganville,GA,circle,2013-07-15
Chicago,IL,other,2013-07-15
Towaco,NJ,oval,2013-07-15
Custer,WI,circle,2013-07-15
Marlton,NJ,fireball,2013-07-15
Deal Island,MD,rectangle,2013-07-15
Kirkwood,MO,oval,2012-11-24
Waveland,MS,light,2012-11-24
Huntingdon Valley,PA,triangle,2012-11-24
Galveston,TX,oval,2012-11-24
Sandy,UT,unknown,2012-11-24
Bolton,CT,light,2012-11-24
Panama City Beach,FL,sphere,2012-11-24
Tampa,FL,circle,2012-11-24
Pine Mountain,GA,disk,2012-11-24
Cary,NC,circle,2013-09-05
Emerald Isle,NC,circle,2013-09-05
Hayden,AL,unknown,2013-09-05
Easton,PA,fireball,2013-09-05
Merrill,OR,flash,2013-09-05
Pittsburgh,PA,unknown,2013-09-05
Winnipeg,MB,sphere,2013-09-05
Boston,NY,oval,2013-09-05
Albion,ME,diamond,2013-09-28
Plantation,FL,sphere,2013-09-28
Miramichi,NB,sphere,2013-09-28
Ottawa,ON,circle,2013-09-28
Colts Neck,NJ,fireball,2013-09-28
Osprey,FL,chevron,2013-09-28
Lexington,KY,sphere,2013-09-28
Nashua,NH,fireball,2013-09-28
Keansburg,NJ,fireball,2013-09-28
Redford,MI,fireball,2013-05-25
Plymouth,MI,light,2013-05-25
Butte,MT,triangle,2013-05-25
Youngsville,NC,light,2013-05-25
Macherio (Italy),NA,fireball,2013-05-25
Springfield,OH,circle,2013-05-25
Rockvale,TN,oval,2013-05-25
Lake Shasta,CA,fireball,2013-05-25
Seven Devils,NC,fireball,2013-08-24
Claremont,NH,circle,2013-08-24
Lake Wales,FL,fireball,2013-08-24
O'Fallon,MO,sphere,2013-08-24
Hickory Hills,IL,circle,2013-08-24
Ilwaco,WA,fireball,2013-08-24
Mission Viejo,CA,light,2013-08-24
Mason,OH,light,2013-08-24
Salt Lake City,UT,unknown,2013-10-13
Toronto,ON,fireball,2013-10-13
Newark,TX,circle,2013-10-13
Afton,MO,sphere,2013-10-13
Council Bluffs,IA,light,2013-10-13
Council Bluffs,IA,formation,2013-10-13
Irondequoit,NY,fireball,2013-10-13
Orange,NJ,light,2013-10-13
Oswego,IL,circle,2013-10-13
Spring Hill,FL,diamond,2013-10-13
Pictou,NS,circle,2013-09-19
Merrimcak,NH,light,2013-09-19
West Valley City,UT,light,2013-09-23
Tulsa,OK,disk,2013-09-24
Leland,NC,light,2013-09-27
Flint,MI,unknown,2013-09-27
Oxford,PA,oval,2013-09-28
Pensacola,FL,cylinder,2013-09-28
North Berwick,ME,NA,2013-09-29
Morgan,MN,fireball,2013-06-24
"East, ã€‚  (Taiwan)",NA,disk,2013-06-24
Greensboro,NC,triangle,2013-06-24
Independence,VA,circle,2013-06-24
Hartman,AR,sphere,2013-06-24
Liberty,OH,sphere,2013-06-24
Cincinnati,OH,fireball,2013-06-24
Myrtle Point,OR,oval,2013-06-24
Bertram,TX,light,2013-06-24
unknown,CA,disk,NA
Gahanna,OH,light,NA
Tennyson,TX,flash,1978-06-10
Quartzsite,AZ,triangle,2007-10-30
Grayslake,IL,rectangle,2010-09-25
Pebble Beach,CA,light,2011-09-10
Fort Erie,ON,light,2011-12-31
Seagoville,TX,circle,2013-01-01
Lahaina,HI,fireball,2013-01-01
East Mesa,AZ,formation,2013-01-01
Sarasota,FL,light,2013-01-01
Stockton,CA,triangle,2013-01-01
Lacrosse,WI,formation,2013-01-01
Saint Peters,PA,light,2013-01-01
Weaverville,CA,fireball,2013-01-01
Springdale,UT,oval,2013-01-01
Essex Junction,VT,oval,2013-05-01
Towanda,IL,fireball,2013-05-01
Grand Blanc,MI,NA,2013-05-01
Fort Dodge,IA,flash,2013-05-02
Littleton,CO,circle,2013-05-02
Gillette,WY,light,2013-05-02
Hobart,IN,circle,2013-05-02
Homestead,FL,sphere,2013-07-09
Ogilvie,MN,light,2013-07-10
Indianapolis,IN,light,2013-07-10
Cadiz,KY,circle,2013-07-10
Elk Grove,CA,circle,2013-07-10
Hillsboro,OR,light,2013-07-10
London,ON,light,2013-07-10
London,ON,light,2013-07-10
Manchester,CT,fireball,2013-07-10
Scarborough,ON,oval,2013-07-10
Nevada,MO,light,2013-07-15
Monroe,MI,teardrop,2013-07-16
Shasta Lake,CA,light,2013-07-16
Sparks,NV,unknown,2013-07-16
Austintown,OH,circle,2013-07-16
San Rafael,CA,triangle,2013-07-16
Booneville,AR,circle,2013-07-16
Lena,IL,circle,2013-07-16
Bhubaneswar (India),NA,other,2012-11-25
North Las Vegas,NV,unknown,2012-11-25
Las Vegas,NV,unknown,2012-11-25
Columbia,TN,light,2012-11-25
Chicago,IL,changing,2012-11-25
Raleigh,NC,formation,2012-11-25
Portland,OR,light,2012-11-25
Shrewsbury,PA,circle,2013-09-05
Belgium,NA,circle,2013-09-05
Springfield,MA,changing,2013-09-05
Surfside Beach,SC,disk,2013-09-05
Fairport,NY,oval,2013-09-05
Celina,TX,sphere,2013-09-06
Lincoln,NE,unknown,2013-09-06
Urbana,OH,triangle,2013-09-06
Boise,ID,fireball,2013-09-06
Victoria,MN,other,2013-09-06
Langdon,ND,cylinder,2013-09-28
Sewanee,TN,light,2013-09-28
Manchester,CT,formation,2013-09-28
Erlanger,KY,oval,2013-09-28
Eatonville,WA,disk,2013-09-29
Tonawanda,NY,triangle,2013-09-29
Nashville,TN,disk,2013-09-29
Westfield,NS,fireball,2013-09-29
Apopka,FL,disk,2013-05-26
Perham,MN,light,2013-05-26
Orange,CA,light,2013-05-26
Sacramento,CA,circle,2013-05-26
Okauchee,WI,fireball,2013-05-26
Peoria,AZ,triangle,2013-05-26
Portsmouth,VA,fireball,2013-05-26
Carlsbad,NM,oval,2013-05-26
Coloma,MI,sphere,2013-08-24
Saint Agatha,ME,light,2013-08-25
Port Saint Lucie,FL,light,2013-08-25
Tecumseh,ON,changing,2013-08-25
Murray,KY,oval,2013-08-25
Weaverville,NC,cylinder,2013-08-25
Waikoloa,HI,NA,2013-08-25
Milford,CT,NA,2013-08-25
Indianapolis,IN,circle,2013-08-25
Pasadena,MD,circle,2013-10-13
Spokane,WA,flash,2013-10-13
West Palm Beach,FL,light,2013-10-13
Jefferson,WI,light,2013-10-13
Raymond,OH,unknown,2013-10-13
Bushnell,FL,sphere,2013-10-13
Indianapolis,IN,circle,2013-10-13
Amesbury,MA,other,2013-09-30
Muskegon,MI,teardrop,2013-09-30
Stow,MA,oval,2013-09-30
Brewster,MA,sphere,2013-09-30
Berlin,WI,light,2013-09-30
Thurmont,MD,unknown,2013-09-30
Eagan,MN,triangle,2013-09-30
Scranton,PA,triangle,2013-09-30
Louisville,KY,oval,2013-06-25
Leitchfield,KY,other,2013-06-25
Juncos (Puerto Rico),NA,other,2013-06-25
Kannapolis,NC,circle,2013-06-25
Palo Alto,CA,cylinder,2013-06-25
Beaver Falls,PA,light,2013-06-25
Lakeland,TN,circle,2013-06-25
Hemet,CA,fireball,2013-06-25
Lexington,TX,light,2013-06-25
Las Vegas,NV,light,2013-06-25
Monterey,CA,cylinder,2013-02-19
Chapel Hill,NC,triangle,2013-04-02
Bowling Green,KY,fireball,2013-06-03
Niles,MI,circle,2013-06-03
Nashville,TN,formation,2013-06-25
Crawley (UK/England),NA,diamond,2013-06-26
Mount Albert,ON,circle,2013-06-26
Monrowville,PA,egg,2013-06-29
Meriden,CT,circle,2013-07-01
Orlando,FL,fireball,2013-01-01
Port Townsend,WA,diamond,2013-01-01
Honolulu,HI,fireball,2013-01-01
New Port Richey,FL,changing,2013-01-01
Fountain Hills,AZ,other,2013-01-01
Langley,WA,chevron,2013-01-02
Seattle,WA,light,2013-01-02
Erlanger,KY,cylinder,2013-01-02
Corona,NY,other,2013-01-02
Thane (India),NA,other,2013-05-02
Vega Baja (Puerto Rico),NA,formation,2013-05-02
Santa Maria,CA,teardrop,2013-05-03
Seattle,WA,other,2013-05-03
Venice,CA,fireball,2013-05-03
Barre,VT,light,2013-05-03
Richmond,VA,fireball,2013-05-03
West Jordan,UT,triangle,2013-05-03
Taunton,MA,unknown,2013-05-03
Medford,NY,cylinder,2013-05-03
Jacksonville,FL,egg,2013-07-10
Minoa,NY,unknown,2013-07-10
San Marcos,CA,triangle,2013-07-10
The Village,OK,circle,2013-07-11
Golden Beach,FL,other,2013-07-11
Campbell River,BC,oval,2013-07-11
Cedar Rapids,IA,triangle,2013-07-11
Fort Morgan,AL,light,2013-07-11
Charlotte,NC,cigar,2013-07-11
Prior Lake,MN,sphere,2013-07-16
Slate Hill,NY,flash,2013-07-16
New York,NY,light,2013-07-16
State College,PA,fireball,2013-07-16
Landisville,PA,fireball,2013-07-16
W. Sacramento,CA,unknown,2013-07-16
Baldwin Park,CA,changing,2013-07-16
Bainbridge Island,WA,unknown,2013-07-16
South Gate,CA,circle,2013-07-17
Savannah,GA,circle,2012-11-25
Columbia,SC,other,2012-11-25
Sarasota,FL,light,2012-11-25
Nassau (Bahamas),NA,light,2012-11-25
San Ramon,CA,formation,2012-11-25
Pinellas Park,FL,disk,2012-11-25
Anchorage,AK,light,2012-11-25
Manahawkin,NJ,light,2012-11-25
Vineland,NJ,light,2012-11-25
Columbia,TN,light,2012-11-25
Hemet,CA,unknown,2013-09-06
Johns Creek,GA,light,2013-09-06
Prosser,WA,egg,2013-09-06
Pyote,TX,triangle,2013-09-06
Cumming,GA,disk,2013-09-06
Gladstone,MI,flash,2013-09-06
Hellertown,PA,fireball,2013-09-06
Searsmont,ME,light,2013-09-06
Ewing,NJ,other,2013-09-29
Johnston,RI,disk,2013-09-29
Haverhill,MA,other,2013-09-29
Gunnison area,CO,circle,2013-09-29
Springboro,OH,circle,2013-09-29
Maseru (Lesotho; South Africa),NA,circle,2013-09-29
Catskill,NY,light,2013-09-29
Durban (South Africa),NA,circle,2013-09-29
Kent,WA,sphere,2013-05-26
Scottsville,KY,other,2013-05-26
Seymour,CT,circle,2013-05-26
Seymour,CT,oval,2013-05-26
Seymour,CT,oval,2013-05-26
Jacksonville,NC,light,2013-05-26
Orlando,FL,light,2013-05-26
Lombard,IL,circle,2013-05-26
Tyrone,PA,light,2013-05-26
Spring Hill,TN,sphere,2013-08-25
Dallas,GA,triangle,2013-08-25
Worton,MD,circle,2013-08-25
Ypsilanti,MI,fireball,2013-08-25
Goshen,IN,formation,2013-08-25
Linden,NJ,oval,2013-08-25
Weaverville,NC,other,2013-08-25
Moultrie,GA,circle,2013-08-25
Mount Pleasant,SC,fireball,2013-08-25
Gobles,MI,unknown,2013-10-13
Regina,SK,light,2013-10-13
Fishers,IN,changing,2013-10-13
New York,NY,sphere,2013-10-13
Warren,MI,sphere,2013-10-13
